#application(s)	wasl (app0)	Uncoordinated (app0)	wasl (app1)	Uncoordinated (app1)
xapian-moses	11.86618650	13.85930375		4.262506450	6.041683300000000
xapian-masstree	11.379366550	11.5085640000		1.0928915	3.1752118
xapian-silo	11.340998550	11.284154		1.893850650	1.9127195499999900
xapian-dnn	11.212927900	12.41799500		1.39008775	1.4093466000000000
moses-masstree	5.0698352	5.3702546000		1.112343000	4.4713505
moses-silo	5.127127200	5.335615			1.383790900	1.8735081000000000
moses-dnn	5.20569420	5.8701665		1.4052967000	1.5405863000000000
masstree-silo	0.853076800	1.2123393		1.19		1.56
masstree-dnn	1.36130500	7.1217928		1.270268		1.39121275
silo-dnn		1.2323110	1.83197535000		1.5221243	1.56955165
GeoMean		4.489		5.989			1.5507		2.1087

